q,1,3,6,12,24,48
0.499001996007984, 0.982, 0.971, 0.952, 0.942, 0.918, 0.89, 
0.498003992015968, 0.986, 0.968, 0.959, 0.939, 0.928, 0.898, 
0.497005988023952, 0.988, 0.982, 0.951, 0.938, 0.89, 0.877, 
0.496007984031936, 0.974, 0.964, 0.943, 0.927, 0.904, 0.855, 
0.49500998003992003, 0.982, 0.97, 0.95, 0.911, 0.895, 0.817, 
0.49401197604790403, 0.974, 0.957, 0.938, 0.93, 0.88, 0.809, 
0.49301397205588804, 0.983, 0.946, 0.932, 0.91, 0.858, 0.799, 
0.49201596806387204, 0.978, 0.958, 0.934, 0.895, 0.841, 0.801, 
0.49101796407185605, 0.97, 0.943, 0.936, 0.877, 0.858, 0.749, 
0.49001996007984006, 0.966, 0.958, 0.911, 0.882, 0.824, 0.763, 
0.48902195608782406, 0.969, 0.926, 0.915, 0.877, 0.822, 0.748, 
0.48802395209580807, 0.967, 0.935, 0.893, 0.868, 0.809, 0.73, 
0.4870259481037921, 0.969, 0.94, 0.894, 0.853, 0.758, 0.692, 
0.4860279441117761, 0.962, 0.925, 0.88, 0.858, 0.791, 0.702, 
0.4850299401197601, 0.958, 0.931, 0.902, 0.852, 0.794, 0.692, 
0.4840319361277441, 0.948, 0.921, 0.877, 0.813, 0.747, 0.65, 
0.4830339321357281, 0.948, 0.906, 0.877, 0.8, 0.755, 0.621, 
0.4820359281437121, 0.957, 0.9, 0.855, 0.826, 0.708, 0.623, 
0.4810379241516961, 0.941, 0.899, 0.856, 0.787, 0.711, 0.565, 
0.4800399201596801, 0.943, 0.913, 0.855, 0.774, 0.673, 0.594, 
0.4790419161676641, 0.937, 0.895, 0.844, 0.776, 0.696, 0.574, 
0.4780439121756481, 0.94, 0.879, 0.847, 0.756, 0.667, 0.557, 
0.47704590818363213, 0.939, 0.851, 0.826, 0.749, 0.632, 0.53, 
0.47604790419161613, 0.932, 0.887, 0.824, 0.755, 0.654, 0.523, 
0.47504990019960014, 0.922, 0.865, 0.826, 0.738, 0.649, 0.49, 
0.47405189620758414, 0.921, 0.863, 0.8, 0.734, 0.637, 0.456, 
0.47305389221556815, 0.912, 0.835, 0.792, 0.732, 0.58, 0.457, 
0.47205588822355216, 0.929, 0.85, 0.774, 0.678, 0.573, 0.44, 
0.47105788423153616, 0.928, 0.833, 0.784, 0.704, 0.563, 0.41, 
0.47005988023952017, 0.92, 0.852, 0.769, 0.68, 0.562, 0.407, 
0.4690618762475042, 0.915, 0.852, 0.768, 0.654, 0.52, 0.394, 
0.4680638722554882, 0.929, 0.846, 0.771, 0.661, 0.556, 0.375, 
0.4670658682634722, 0.919, 0.83, 0.745, 0.635, 0.502, 0.382, 
0.4660678642714562, 0.909, 0.842, 0.74, 0.611, 0.496, 0.352, 
0.4650698602794402, 0.901, 0.822, 0.731, 0.643, 0.489, 0.306, 
0.4640718562874242, 0.914, 0.834, 0.731, 0.615, 0.482, 0.327, 
0.4630738522954082, 0.904, 0.791, 0.73, 0.612, 0.476, 0.305, 
0.4620758483033922, 0.899, 0.818, 0.732, 0.593, 0.459, 0.289, 
0.4610778443113762, 0.909, 0.785, 0.719, 0.601, 0.438, 0.3, 
0.4600798403193602, 0.884, 0.789, 0.698, 0.606, 0.448, 0.273, 
0.45908183632734423, 0.899, 0.799, 0.683, 0.604, 0.456, 0.249, 
0.45808383233532823, 0.899, 0.79, 0.681, 0.561, 0.442, 0.251, 
0.45708582834331224, 0.887, 0.763, 0.695, 0.561, 0.402, 0.238, 
0.45608782435129624, 0.891, 0.779, 0.634, 0.551, 0.389, 0.243, 
0.45508982035928025, 0.886, 0.773, 0.673, 0.521, 0.379, 0.223, 
0.45409181636726426, 0.882, 0.751, 0.655, 0.531, 0.366, 0.214, 
0.45309381237524826, 0.866, 0.745, 0.663, 0.517, 0.371, 0.194, 
0.45209580838323227, 0.873, 0.76, 0.642, 0.515, 0.331, 0.169, 
0.4510978043912163, 0.848, 0.727, 0.666, 0.511, 0.343, 0.156, 
0.4500998003992003, 0.875, 0.722, 0.624, 0.484, 0.339, 0.165, 
0.4491017964071843, 0.85, 0.725, 0.634, 0.47, 0.315, 0.184, 
0.4481037924151683, 0.838, 0.74, 0.616, 0.459, 0.323, 0.155, 
0.4471057884231523, 0.874, 0.715, 0.59, 0.466, 0.305, 0.134, 
0.4461077844311363, 0.865, 0.711, 0.617, 0.474, 0.293, 0.14, 
0.4451097804391203, 0.854, 0.691, 0.624, 0.428, 0.271, 0.124, 
0.4441117764471043, 0.856, 0.707, 0.587, 0.448, 0.274, 0.134, 
0.4431137724550883, 0.869, 0.69, 0.559, 0.455, 0.279, 0.105, 
0.4421157684630723, 0.854, 0.716, 0.579, 0.433, 0.279, 0.103, 
0.44111776447105633, 0.838, 0.698, 0.616, 0.408, 0.241, 0.101, 
0.44011976047904033, 0.855, 0.704, 0.559, 0.417, 0.255, 0.092, 
0.43912175648702434, 0.828, 0.686, 0.55, 0.418, 0.221, 0.097, 
0.43812375249500835, 0.838, 0.696, 0.563, 0.402, 0.261, 0.077, 
0.43712574850299235, 0.832, 0.647, 0.558, 0.397, 0.223, 0.086, 
0.43612774451097636, 0.842, 0.665, 0.547, 0.385, 0.205, 0.066, 
0.43512974051896036, 0.834, 0.644, 0.539, 0.36, 0.206, 0.068, 
0.43413173652694437, 0.821, 0.658, 0.537, 0.368, 0.216, 0.058, 
0.4331337325349284, 0.829, 0.657, 0.511, 0.368, 0.205, 0.056, 
0.4321357285429124, 0.829, 0.66, 0.511, 0.338, 0.181, 0.052, 
0.4311377245508964, 0.818, 0.641, 0.503, 0.353, 0.165, 0.052, 
0.4301397205588804, 0.821, 0.639, 0.52, 0.344, 0.205, 0.067, 
0.4291417165668644, 0.823, 0.631, 0.493, 0.338, 0.15, 0.055, 
0.4281437125748484, 0.813, 0.642, 0.481, 0.31, 0.159, 0.039, 
0.4271457085828324, 0.816, 0.645, 0.474, 0.315, 0.143, 0.032, 
0.4261477045908164, 0.81, 0.61, 0.472, 0.324, 0.135, 0.028, 
0.4251497005988004, 0.801, 0.621, 0.462, 0.277, 0.16, 0.038, 
0.4241516966067844, 0.772, 0.622, 0.513, 0.318, 0.15, 0.033, 
0.42315369261476843, 0.79, 0.615, 0.487, 0.313, 0.143, 0.032, 
0.42215568862275243, 0.824, 0.599, 0.438, 0.286, 0.136, 0.025, 
0.42115768463073644, 0.806, 0.592, 0.499, 0.302, 0.127, 0.038, 
0.42015968063872045, 0.776, 0.584, 0.444, 0.275, 0.121, 0.021, 
0.41916167664670445, 0.798, 0.594, 0.431, 0.255, 0.107, 0.02, 
0.41816367265468846, 0.76, 0.587, 0.466, 0.252, 0.099, 0.025, 
0.41716566866267246, 0.769, 0.605, 0.413, 0.256, 0.105, 0.02, 
0.41616766467065647, 0.786, 0.548, 0.409, 0.247, 0.116, 0.017, 
0.4151696606786405, 0.796, 0.616, 0.407, 0.251, 0.096, 0.018, 
0.4141716566866245, 0.777, 0.56, 0.445, 0.221, 0.105, 0.021, 
0.4131736526946085, 0.792, 0.578, 0.402, 0.229, 0.094, 0.02, 
0.4121756487025925, 0.789, 0.56, 0.404, 0.227, 0.073, 0.01, 
0.4111776447105765, 0.761, 0.582, 0.387, 0.208, 0.087, 0.02, 
0.4101796407185605, 0.742, 0.552, 0.393, 0.2, 0.066, 0.016, 
0.4091816367265445, 0.763, 0.541, 0.38, 0.202, 0.064, 0.009, 
0.4081836327345285, 0.794, 0.551, 0.368, 0.187, 0.066, 0.01, 
0.4071856287425125, 0.753, 0.536, 0.372, 0.186, 0.067, 0.007, 
0.4061876247504965, 0.781, 0.545, 0.355, 0.183, 0.062, 0.009, 
0.40518962075848053, 0.731, 0.518, 0.36, 0.191, 0.075, 0.006, 
0.40419161676646453, 0.754, 0.525, 0.34, 0.197, 0.075, 0.009, 
0.40319361277444854, 0.756, 0.56, 0.329, 0.181, 0.062, 0.013, 
0.40219560878243255, 0.736, 0.499, 0.336, 0.202, 0.061, 0.007, 
0.40119760479041655, 0.725, 0.551, 0.334, 0.177, 0.054, 0.005, 
0.40019960079840056, 0.749, 0.515, 0.346, 0.157, 0.048, 0.006, 
0.39920159680638456, 0.726, 0.491, 0.354, 0.178, 0.045, 0.01, 
0.39820359281436857, 0.735, 0.512, 0.329, 0.164, 0.047, 0.002, 
0.3972055888223526, 0.732, 0.511, 0.318, 0.171, 0.045, 0.006, 
0.3962075848303366, 0.716, 0.497, 0.316, 0.154, 0.036, 0.006, 
0.3952095808383206, 0.704, 0.474, 0.31, 0.162, 0.046, 0.006, 
0.3942115768463046, 0.726, 0.498, 0.299, 0.159, 0.029, 0.008, 
0.3932135728542886, 0.695, 0.461, 0.305, 0.156, 0.041, 0.001, 
0.3922155688622726, 0.685, 0.474, 0.27, 0.147, 0.037, 0.004, 
0.3912175648702566, 0.72, 0.482, 0.294, 0.125, 0.037, 0.004, 
0.3902195608782406, 0.687, 0.468, 0.292, 0.136, 0.027, 0.001, 
0.3892215568862246, 0.711, 0.464, 0.289, 0.12, 0.03, 0.0, 
0.3882235528942086, 0.712, 0.47, 0.281, 0.128, 0.026, 0.001, 
0.38722554890219263, 0.71, 0.423, 0.271, 0.134, 0.022, 0.002, 
0.38622754491017663, 0.683, 0.421, 0.264, 0.126, 0.018, 0.003, 
0.38522954091816064, 0.676, 0.433, 0.283, 0.116, 0.02, 0.0, 
0.38423153692614465, 0.686, 0.445, 0.255, 0.103, 0.03, 0.003, 
0.38323353293412865, 0.672, 0.448, 0.24, 0.119, 0.025, 0.0, 
0.38223552894211266, 0.685, 0.412, 0.275, 0.111, 0.031, 0.0, 
0.38123752495009666, 0.697, 0.451, 0.257, 0.078, 0.014, 0.001, 
0.38023952095808067, 0.646, 0.446, 0.259, 0.088, 0.019, 0.0, 
0.3792415169660647, 0.68, 0.398, 0.265, 0.105, 0.011, 0.0, 
0.3782435129740487, 0.684, 0.41, 0.23, 0.083, 0.016, 0.003, 
0.3772455089820327, 0.703, 0.415, 0.221, 0.085, 0.015, 0.0, 
0.3762475049900167, 0.686, 0.373, 0.234, 0.085, 0.013, 0.0, 
0.3752495009980007, 0.715, 0.391, 0.232, 0.072, 0.02, 0.0, 
0.3742514970059847, 0.693, 0.39, 0.226, 0.08, 0.018, 0.001, 
0.3732534930139687, 0.66, 0.402, 0.203, 0.083, 0.018, 0.0, 
0.3722554890219527, 0.654, 0.445, 0.226, 0.085, 0.01, 0.0, 
0.3712574850299367, 0.638, 0.366, 0.214, 0.077, 0.017, 0.0, 
0.3702594810379207, 0.653, 0.409, 0.219, 0.074, 0.007, 0.0, 
0.36926147704590473, 0.651, 0.373, 0.219, 0.071, 0.011, 0.0, 
0.36826347305388873, 0.669, 0.403, 0.207, 0.074, 0.013, 0.0, 
0.36726546906187274, 0.659, 0.384, 0.206, 0.062, 0.008, 0.0, 
0.36626746506985675, 0.678, 0.369, 0.202, 0.058, 0.009, 0.0, 
0.36526946107784075, 0.656, 0.375, 0.201, 0.063, 0.008, 0.001, 
0.36427145708582476, 0.65, 0.37, 0.178, 0.05, 0.01, 0.0, 
0.36327345309380876, 0.626, 0.382, 0.174, 0.064, 0.011, 0.001, 
0.36227544910179277, 0.639, 0.369, 0.187, 0.058, 0.007, 0.0, 
0.3612774451097768, 0.637, 0.356, 0.189, 0.05, 0.01, 0.0, 
0.3602794411177608, 0.631, 0.361, 0.173, 0.059, 0.005, 0.0, 
0.3592814371257448, 0.651, 0.363, 0.155, 0.042, 0.005, 0.0, 
0.3582834331337288, 0.625, 0.337, 0.181, 0.058, 0.008, 0.0, 
0.3572854291417128, 0.627, 0.323, 0.143, 0.05, 0.003, 0.0, 
0.3562874251496968, 0.625, 0.364, 0.155, 0.049, 0.003, 0.0, 
0.3552894211576808, 0.625, 0.348, 0.178, 0.042, 0.002, 0.0, 
0.3542914171656648, 0.615, 0.344, 0.163, 0.037, 0.002, 0.0, 
0.3532934131736488, 0.642, 0.347, 0.152, 0.051, 0.006, 0.0, 
0.3522954091816328, 0.617, 0.334, 0.155, 0.03, 0.008, 0.0, 
0.35129740518961683, 0.603, 0.342, 0.15, 0.034, 0.001, 0.0, 
0.35029940119760083, 0.607, 0.315, 0.139, 0.026, 0.003, 0.0, 
0.34930139720558484, 0.594, 0.332, 0.156, 0.027, 0.004, 0.0, 
0.34830339321356885, 0.584, 0.316, 0.137, 0.037, 0.002, 0.0, 
0.34730538922155285, 0.612, 0.328, 0.137, 0.04, 0.002, 0.0, 
0.34630738522953686, 0.582, 0.295, 0.15, 0.038, 0.007, 0.0, 
0.34530938123752086, 0.639, 0.285, 0.133, 0.027, 0.003, 0.0, 
0.34431137724550487, 0.611, 0.302, 0.12, 0.031, 0.001, 0.0, 
0.3433133732534889, 0.592, 0.297, 0.143, 0.026, 0.003, 0.0, 
0.3423153692614729, 0.59, 0.306, 0.12, 0.032, 0.004, 0.0, 
0.3413173652694569, 0.588, 0.312, 0.121, 0.029, 0.001, 0.0, 
0.3403193612774409, 0.619, 0.285, 0.104, 0.022, 0.001, 0.0, 
0.3393213572854249, 0.578, 0.278, 0.129, 0.031, 0.001, 0.0, 
0.3383233532934089, 0.588, 0.305, 0.125, 0.023, 0.0, 0.0, 
0.3373253493013929, 0.564, 0.276, 0.123, 0.021, 0.002, 0.0, 
0.3363273453093769, 0.574, 0.275, 0.102, 0.026, 0.005, 0.0, 
0.3353293413173609, 0.576, 0.252, 0.116, 0.022, 0.002, 0.0, 
0.3343313373253449, 0.537, 0.275, 0.114, 0.017, 0.002, 0.0, 
0.33333333333332893, 0.556, 0.278, 0.111, 0.025, 0.002, 0.0, 
0.33233532934131294, 0.566, 0.257, 0.107, 0.023, 0.0, 0.0, 
0.33133732534929694, 0.549, 0.265, 0.104, 0.013, 0.0, 0.0, 
0.33033932135728095, 0.556, 0.26, 0.101, 0.016, 0.001, 0.0, 
0.32934131736526495, 0.553, 0.252, 0.109, 0.021, 0.0, 0.0, 
0.32834331337324896, 0.547, 0.242, 0.086, 0.014, 0.0, 0.0, 
0.32734530938123296, 0.554, 0.242, 0.104, 0.017, 0.001, 0.0, 
0.32634730538921697, 0.539, 0.246, 0.09, 0.015, 0.0, 0.0, 
0.325349301397201, 0.53, 0.253, 0.074, 0.016, 0.0, 0.0, 
0.324351297405185, 0.532, 0.257, 0.078, 0.015, 0.001, 0.0, 
0.323353293413169, 0.537, 0.219, 0.089, 0.008, 0.0, 0.0, 
0.322355289421153, 0.566, 0.216, 0.1, 0.013, 0.004, 0.0, 
0.321357285429137, 0.546, 0.211, 0.09, 0.012, 0.001, 0.0, 
0.320359281437121, 0.542, 0.248, 0.07, 0.015, 0.0, 0.0, 
0.319361277445105, 0.548, 0.219, 0.077, 0.017, 0.001, 0.0, 
0.318363273453089, 0.543, 0.231, 0.092, 0.014, 0.0, 0.0, 
0.317365269461073, 0.527, 0.206, 0.086, 0.012, 0.0, 0.0, 
0.316367265469057, 0.555, 0.242, 0.077, 0.014, 0.002, 0.0, 
0.31536926147704103, 0.552, 0.206, 0.059, 0.011, 0.0, 0.0, 
0.31437125748502504, 0.536, 0.222, 0.08, 0.011, 0.001, 0.0, 
0.31337325349300904, 0.521, 0.201, 0.067, 0.012, 0.0, 0.0, 
0.31237524950099305, 0.543, 0.211, 0.072, 0.013, 0.0, 0.0, 
0.31137724550897705, 0.507, 0.21, 0.063, 0.005, 0.0, 0.0, 
0.31037924151696106, 0.52, 0.212, 0.067, 0.008, 0.0, 0.0, 
0.30938123752494506, 0.507, 0.205, 0.059, 0.007, 0.0, 0.0, 
0.30838323353292907, 0.533, 0.217, 0.077, 0.008, 0.0, 0.0, 
0.3073852295409131, 0.496, 0.192, 0.048, 0.009, 0.0, 0.0, 
0.3063872255488971, 0.526, 0.184, 0.072, 0.008, 0.0, 0.0, 
0.3053892215568811, 0.506, 0.186, 0.059, 0.008, 0.0, 0.0, 
0.3043912175648651, 0.51, 0.183, 0.056, 0.006, 0.0, 0.0, 
0.3033932135728491, 0.505, 0.195, 0.061, 0.004, 0.0, 0.0, 
0.3023952095808331, 0.503, 0.197, 0.053, 0.004, 0.0, 0.0, 
0.3013972055888171, 0.493, 0.176, 0.052, 0.004, 0.0, 0.0, 
0.3003992015968011, 0.502, 0.157, 0.044, 0.005, 0.0, 0.0, 
0.2994011976047851, 0.471, 0.166, 0.059, 0.005, 0.001, 0.0, 
0.2984031936127691, 0.469, 0.173, 0.037, 0.005, 0.0, 0.0, 
0.29740518962075313, 0.482, 0.176, 0.041, 0.007, 0.0, 0.0, 
0.29640718562873714, 0.478, 0.183, 0.052, 0.004, 0.0, 0.0, 
0.29540918163672114, 0.481, 0.172, 0.044, 0.007, 0.0, 0.0, 
0.29441117764470515, 0.489, 0.168, 0.043, 0.004, 0.0, 0.0, 
0.29341317365268915, 0.488, 0.161, 0.05, 0.001, 0.0, 0.0, 
0.29241516966067316, 0.476, 0.157, 0.053, 0.006, 0.0, 0.0, 
0.29141716566865716, 0.467, 0.15, 0.036, 0.002, 0.0, 0.0, 
0.29041916167664117, 0.499, 0.149, 0.042, 0.002, 0.0, 0.0, 
0.2894211576846252, 0.486, 0.168, 0.033, 0.004, 0.0, 0.0, 
0.2884231536926092, 0.461, 0.162, 0.046, 0.001, 0.0, 0.0, 
0.2874251497005932, 0.456, 0.156, 0.035, 0.001, 0.0, 0.0, 
0.2864271457085772, 0.439, 0.148, 0.04, 0.002, 0.0, 0.0, 
0.2854291417165612, 0.463, 0.145, 0.031, 0.001, 0.0, 0.0, 
0.2844311377245452, 0.468, 0.151, 0.042, 0.002, 0.0, 0.0, 
0.2834331337325292, 0.473, 0.144, 0.034, 0.003, 0.0, 0.0, 
0.2824351297405132, 0.458, 0.131, 0.03, 0.002, 0.0, 0.0, 
0.2814371257484972, 0.418, 0.15, 0.025, 0.005, 0.0, 0.0, 
0.2804391217564812, 0.465, 0.138, 0.026, 0.0, 0.0, 0.0, 
0.27944111776446523, 0.449, 0.124, 0.032, 0.004, 0.0, 0.0, 
0.27844311377244924, 0.442, 0.121, 0.036, 0.004, 0.0, 0.0, 
0.27744510978043324, 0.45, 0.121, 0.03, 0.001, 0.0, 0.0, 
0.27644710578841725, 0.471, 0.144, 0.024, 0.002, 0.0, 0.0, 
0.27544910179640125, 0.422, 0.131, 0.032, 0.001, 0.0, 0.0, 
0.27445109780438526, 0.425, 0.12, 0.031, 0.0, 0.0, 0.0, 
0.27345309381236926, 0.438, 0.113, 0.026, 0.001, 0.0, 0.0, 
0.27245508982035327, 0.451, 0.131, 0.021, 0.002, 0.0, 0.0, 
0.2714570858283373, 0.412, 0.129, 0.028, 0.003, 0.0, 0.0, 
0.2704590818363213, 0.448, 0.119, 0.025, 0.001, 0.0, 0.0, 
0.2694610778443053, 0.415, 0.143, 0.033, 0.001, 0.0, 0.0, 
0.2684630738522893, 0.421, 0.11, 0.023, 0.0, 0.0, 0.0, 
0.2674650698602733, 0.452, 0.114, 0.026, 0.0, 0.0, 0.0, 
0.2664670658682573, 0.425, 0.108, 0.023, 0.001, 0.0, 0.0, 
0.2654690618762413, 0.414, 0.117, 0.027, 0.001, 0.0, 0.0, 
0.2644710578842253, 0.432, 0.105, 0.014, 0.0, 0.0, 0.0, 
0.2634730538922093, 0.401, 0.108, 0.024, 0.001, 0.0, 0.0, 
0.2624750499001933, 0.444, 0.13, 0.019, 0.0, 0.0, 0.0, 
